timestamp,iv_atm,iv_25d_put,iv_25d_call,skew_25d,butterfly_25d,term_spread
1609488000,,,,,,
1609574400,,,,,,
1609660800,,,,,,
1609747200,,,,,,
1609833600,,,,,,
1609920000,,,,,,
1610006400,,,,,,
1610092800,,,,,,
1610179200,,,,,,
1610265600,,,,,,
1610352000,,,,,,
1610438400,,,,,,
1610524800,,,,,,
1610611200,,,,,,
1610697600,,,,,,
1610784000,,,,,,
1610870400,,,,,,
1610956800,,,,,,
1611043200,,,,,,
1611129600,,,,,,
1611216000,,,,,,
1611302400,2.0878,2.0939,2.0859,0.008,0.0022,-0.0192
1611388800,2.0478,2.0909,2.0349,0.056,0.0151,-0.0118
1611475200,1.7261,1.7898,1.707,0.0828,0.0223,-0.0068
1611561600,1.7508,1.8649,1.7166,0.1483,0.0399,-0.0006
1611648000,1.7047,1.8408,1.6639,0.1769,0.0476,-0.003
1611734400,1.6655,1.8219,1.6186,0.2033,0.0547,-0.0277
1611820800,1.6899,1.8631,1.6379,0.2252,0.0606,-0.0163
1611907200,1.6816,1.8947,1.6177,0.2771,0.0746,-0.0276
1611993600,1.5861,1.7674,1.5317,0.2357,0.0635,-0.0245
1612080000,1.219,1.3937,1.1666,0.2272,0.0612,-0.0146
1612166400,1.2257,1.436,1.1626,0.2733,0.0736,-0.0343
1612252800,1.2266,1.4331,1.1646,0.2685,0.0723,-0.0292
1612339200,1.2406,1.4155,1.1881,0.2274,0.0612,-0.0402
1612425600,1.2086,1.3538,1.165,0.1888,0.0508,-0.0207
1612512000,1.1787,1.339,1.1306,0.2084,0.0561,-0.003
1612598400,1.2048,1.3823,1.1515,0.2308,0.0621,0.0157
1612684800,1.2073,1.3596,1.1616,0.198,0.0533,0.0122
1612771200,1.1105,1.2637,1.0646,0.1991,0.0536,0.0017
1612857600,1.1208,1.2814,1.0726,0.2088,0.0562,-0.0197
1612944000,1.1091,1.2513,1.0664,0.1848,0.0498,-0.0226
1613030400,0.9106,0.9793,0.89,0.0893,0.024,-0.0145
1613116800,0.8144,0.8411,0.8064,0.0347,0.0093,0.0046
