timestamp,rv
1704096000,
1704182400,
1704268800,
1704355200,
1704441600,
1704528000,
1704614400,
1704700800,
1704787200,
1704873600,
1704960000,
1705046400,
1705132800,
1705219200,
1705305600,
1705392000,
1705478400,
1705564800,
1705651200,
1705737600,
1705824000,
1705910400,0.5738
1705996800,0.5948
1706083200,0.538
1706169600,0.5375
1706256000,0.5494
1706342400,0.5504
1706428800,0.5502
1706515200,0.5371
1706601600,0.5275
1706688000,0.3661
1706774400,0.3794
1706860800,0.3764
1706947200,0.3764
1707033600,0.3776
1707120000,0.3782
1707206400,0.3827
1707292800,0.4011
1707379200,0.3863
1707465600,0.393
1707552000,0.3964
1707638400,0.386
1707724800,0.4077
1707811200,0.3556
1707897600,0.3828
1707984000,0.3681
1708070400,0.3705
1708156800,0.3718
1708243200,0.386
1708329600,0.3882
1708416000,0.3887
1708502400,0.3439
1708588800,0.3727
1708675200,0.3697
1708761600,0.3595
1708848000,0.3593
1708934400,0.376
1709020800,0.3789
1709107200,0.4009
1709193600,0.4487
1709280000,0.4492
1709366400,0.4627
1709452800,0.4518
1709539200,0.4483
1709625600,0.4471
1709712000,0.4352
1709798400,0.441
1709884800,0.4313
1709971200,0.4301
1710057600,0.4134
1710144000,0.4089
1710230400,0.4099
1710316800,0.4342
1710403200,0.503
1710489600,0.5065
1710576000,0.6181
1710662400,0.6357
1710748800,0.705
1710835200,0.7212
1710921600,0.79
1711008000,0.7777
1711094400,0.7948
1711180800,0.7939
1711267200,0.7975
1711353600,0.796
1711440000,0.7884
1711526400,0.7885
1711612800,0.7752
1711699200,0.774
1711785600,0.7938
1711872000,0.7933
1711958400,0.8157
1712044800,0.8144
1712131200,0.8152
1712217600,0.7882
1712304000,0.7924
1712390400,0.7351
1712476800,0.7191
1712563200,0.6703
1712649600,0.6548
1712736000,0.5417
1712822400,0.5479
1712908800,0.6108
1712995200,0.6489
1713081600,0.6735
1713168000,0.6445
1713254400,0.6424
1713340800,0.6504
1713427200,0.6763
1713513600,0.6763
1713600000,0.6766
1713686400,0.6754
1713772800,0.6431
1713859200,0.6528
1713945600,0.6686
1714032000,0.6677
1714118400,0.6642
1714204800,0.7128
1714291200,0.7196
1714377600,0.6841
1714464000,0.7744
1714550400,0.7771
1714636800,0.7839
1714723200,0.7499
1714809600,0.7149
1714896000,0.689
1714982400,0.6786
1715068800,0.6867
1715155200,0.6722
1715241600,0.6592
1715328000,0.6803
1715414400,0.6573
1715500800,0.6608
1715587200,0.6602
1715673600,0.6454
1715760000,0.6506
1715846400,0.6508
1715932800,0.6603
1716019200,0.6038
1716105600,0.5831
1716192000,0.9179
1716278400,0.8001
1716364800,0.8
1716451200,0.8254
1716537600,0.8144
1716624000,0.8139
1716710400,0.8176
1716796800,0.8053
1716883200,0.7922
1716969600,0.8062
1717056000,0.8058
1717142400,0.7742
1717228800,0.7712
1717315200,0.7715
1717401600,0.7711
1717488000,0.7689
1717574400,0.763
1717660800,0.7672
1717747200,0.7824
1717833600,0.7846
1717920000,0.7853
1718006400,0.3688
1718092800,0.3526
1718179200,0.3414
1718265600,0.311
1718352000,0.2986
1718438400,0.2969
1718524800,0.252
1718611200,0.269
1718697600,0.3039
1718784000,0.298
1718870400,0.334
1718956800,0.3298
1719043200,0.3295
1719129600,0.3621
1719216000,0.3617
1719302400,0.3639
1719388800,0.3569
1719475200,0.368
1719561600,0.3529
1719648000,0.353
1719734400,0.3775
1719820800,0.3582
1719907200,0.3725
1719993600,0.4248
1720080000,0.5763
1720166400,0.6134
1720252800,0.6101
1720339200,0.6138
1720425600,0.6452
1720512000,0.6326
1720598400,0.6264
1720684800,0.6129
1720771200,0.6226
1720857600,0.6287
1720944000,0.6438
1721030400,0.6443
1721116800,0.6563
1721203200,0.6591
1721289600,0.6579
1721376000,0.6675
1721462400,0.6674
1721548800,0.6564
1721635200,0.6539
1721721600,0.6441
1721808000,0.7013
1721894400,0.5589
1721980800,0.5357
1722067200,0.5407
1722153600,0.5489
1722240000,0.5262
1722326400,0.5271
1722412800,0.5655
1722499200,0.5624
1722585600,0.5968
1722672000,0.6008
1722758400,0.9904
1722844800,1.0495
1722931200,1.0309
1723017600,1.0358
1723104000,1.1459
1723190400,1.1324
1723276800,1.1381
1723363200,1.1437
1723449600,1.1595
1723536000,1.1723
1723622400,1.1392
1723708800,1.1308
1723795200,1.1285
1723881600,1.1299
1723968000,1.1076
1724054400,1.1172
1724140800,1.1194
1724227200,1.1135
1724313600,1.117
1724400000,1.1114
1724486400,1.1052
1724572800,0.6646
1724659200,0.6135
1724745600,0.7443
1724832000,0.7476
1724918400,0.6132
1725004800,0.6118
1725091200,0.6084
1725177600,0.5883
1725264000,0.589
1725350400,0.6019
1725436800,0.5813
1725523200,0.5897
1725609600,0.595
1725696000,0.5949
1725782400,0.5971
1725868800,0.5958
1725955200,0.5881
1726041600,0.5851
1726128000,0.5801
1726214400,0.5769
1726300800,0.5775
1726387200,0.6036
1726473600,0.6032
1726560000,0.4564
1726646400,0.4585
1726732800,0.5037
1726819200,0.5038
1726905600,0.5018
1726992000,0.5005
1727078400,0.4851
1727164800,0.4345
1727251200,0.4345
1727337600,0.411
1727424000,0.3892
1727510400,0.3991
1727596800,0.4004
1727683200,0.395
1727769600,0.4868
1727856000,0.5301
1727942400,0.5305
1728028800,0.5177
1728115200,0.5177
1728201600,0.4831
1728288000,0.4939
1728374400,0.4931
1728460800,0.4613
1728547200,0.4065
1728633600,0.4151
1728720000,0.4127
1728806400,0.419
1728892800,0.4414
1728979200,0.4399
1729065600,0.441
1729152000,0.4392
1729238400,0.4379
1729324800,0.4341
1729411200,0.4493
1729497600,0.4662
1729584000,0.3823
1729670400,0.3325
1729756800,0.3513
1729843200,0.3494
1729929600,0.3501
1730016000,0.3373
1730102400,0.3606
1730188800,0.3687
1730275200,0.3612
1730361600,0.443
1730448000,0.438
1730534400,0.449
1730620800,0.4322
1730707200,0.4082
1730793600,0.4893
1730880000,0.6016
1730966400,0.6144
1731052800,0.6299
1731139200,0.6549
1731225600,0.656
1731312000,0.6884
1731398400,0.7494
1731484800,0.7368
1731571200,0.779
1731657600,0.7768
1731744000,0.7765
1731830400,0.7784
1731916800,0.7694
1732003200,0.7685
1732089600,0.7653
1732176000,0.7518
1732262400,0.7555
1732348800,0.7382
1732435200,0.7431
1732521600,0.7409
1732608000,0.7136
1732694400,0.6632
1732780800,0.6638
1732867200,0.6676
1732953600,0.6444
1733040000,0.642
1733126400,0.5834
1733212800,0.5104
1733299200,0.5226
1733385600,0.4333
1733472000,0.4339
1733558400,0.4378
1733644800,0.4501
1733731200,0.5097
1733817600,0.5241
1733904000,0.5799
1733990400,0.5202
1734076800,0.5169
1734163200,0.524
1734249600,0.5334
1734336000,0.5319
1734422400,0.5651
1734508800,0.5641
1734595200,0.6724
1734681600,0.6676
1734768000,0.7033
1734854400,0.7031
1734940800,0.7151
1735027200,0.7142
1735113600,0.696
1735200000,0.6986
1735286400,0.6867
1735372800,0.6982
1735459200,0.699
1735545600,0.6789
1735632000,0.6746
