timestamp,rv
1704096000,
1704182400,
1704268800,
1704355200,
1704441600,
1704528000,
1704614400,
1704700800,
1704787200,
1704873600,
1704960000,
1705046400,
1705132800,
1705219200,
1705305600,
1705392000,
1705478400,
1705564800,
1705651200,
1705737600,
1705824000,
1705910400,0.5158
1705996800,0.5177
1706083200,0.4788
1706169600,0.4639
1706256000,0.5038
1706342400,0.5075
1706428800,0.5082
1706515200,0.4457
1706601600,0.4374
1706688000,0.4411
1706774400,0.4544
1706860800,0.3595
1706947200,0.3601
1707033600,0.3594
1707120000,0.36
1707206400,0.3598
1707292800,0.3919
1707379200,0.3755
1707465600,0.3804
1707552000,0.3851
1707638400,0.3741
1707724800,0.3527
1707811200,0.3569
1707897600,0.3743
1707984000,0.3724
1708070400,0.3495
1708156800,0.3543
1708243200,0.346
1708329600,0.3447
1708416000,0.3429
1708502400,0.3182
1708588800,0.3347
1708675200,0.3332
1708761600,0.3286
1708848000,0.337
1708934400,0.474
1709020800,0.4827
1709107200,0.5323
1709193600,0.5449
1709280000,0.5441
1709366400,0.549
1709452800,0.5584
1709539200,0.5557
1709625600,0.5519
1709712000,0.5457
1709798400,0.543
1709884800,0.5413
1709971200,0.5355
1710057600,0.5371
1710144000,0.5255
1710230400,0.5177
1710316800,0.5177
1710403200,0.6155
1710489600,0.6138
1710576000,0.6818
1710662400,0.6846
1710748800,0.6513
1710835200,0.6503
1710921600,0.6329
1711008000,0.6283
1711094400,0.638
1711180800,0.6368
1711267200,0.631
1711353600,0.6546
1711440000,0.657
1711526400,0.657
1711612800,0.6566
1711699200,0.6539
1711785600,0.6512
1711872000,0.6445
1711958400,0.6677
1712044800,0.6648
1712131200,0.6635
1712217600,0.6029
1712304000,0.6036
1712390400,0.5577
1712476800,0.5407
1712563200,0.4869
1712649600,0.4749
1712736000,0.4076
1712822400,0.4023
1712908800,0.443
1712995200,0.4838
1713081600,0.4762
1713168000,0.4457
1713254400,0.4449
1713340800,0.4569
1713427200,0.5213
1713513600,0.521
1713600000,0.5278
1713686400,0.5315
1713772800,0.4957
1713859200,0.4964
1713945600,0.525
1714032000,0.5223
1714118400,0.5218
1714204800,0.5182
1714291200,0.5141
1714377600,0.5195
1714464000,0.6394
1714550400,0.6291
1714636800,0.6458
1714723200,0.6865
1714809600,0.6645
1714896000,0.6558
1714982400,0.633
1715068800,0.6407
1715155200,0.6276
1715241600,0.5973
1715328000,0.6117
1715414400,0.6052
1715500800,0.6129
1715587200,0.6127
1715673600,0.6115
1715760000,0.6458
1715846400,0.6457
1715932800,0.638
1716019200,0.636
1716105600,0.6274
1716192000,0.669
1716278400,0.5179
1716364800,0.5188
1716451200,0.5477
1716537600,0.4942
1716624000,0.4935
1716710400,0.4955
1716796800,0.4961
1716883200,0.4823
1716969600,0.4763
1717056000,0.4642
1717142400,0.4382
1717228800,0.4371
1717315200,0.4322
1717401600,0.4303
1717488000,0.4442
1717574400,0.3725
1717660800,0.3727
1717747200,0.3866
1717833600,0.3868
1717920000,0.3849
1718006400,0.3084
1718092800,0.3017
1718179200,0.3024
1718265600,0.2627
1718352000,0.2463
1718438400,0.2426
1718524800,0.24
1718611200,0.2344
1718697600,0.2336
1718784000,0.2369
1718870400,0.255
1718956800,0.256
1719043200,0.2555
1719129600,0.2665
1719216000,0.2828
1719302400,0.2531
1719388800,0.2552
1719475200,0.2616
1719561600,0.2535
1719648000,0.2595
1719734400,0.2961
1719820800,0.2824
1719907200,0.301
1719993600,0.3391
1720080000,0.4235
1720166400,0.473
1720252800,0.479
1720339200,0.4852
1720425600,0.501
1720512000,0.5278
1720598400,0.5258
1720684800,0.5211
1720771200,0.5288
1720857600,0.5511
1720944000,0.572
1721030400,0.5578
1721116800,0.5725
1721203200,0.5693
1721289600,0.5733
1721376000,0.5991
1721462400,0.5991
1721548800,0.5896
1721635200,0.5894
1721721600,0.5751
1721808000,0.5566
1721894400,0.4797
1721980800,0.4615
1722067200,0.4663
1722153600,0.4489
1722240000,0.4892
1722326400,0.4819
1722412800,0.4965
1722499200,0.4878
1722585600,0.5187
1722672000,0.5108
1722758400,0.7301
1722844800,0.7865
1722931200,0.7714
1723017600,0.7726
1723104000,0.821
1723190400,0.7954
1723276800,0.7964
1723363200,0.8112
1723449600,0.8139
1723536000,0.8258
1723622400,0.8398
1723708800,0.8152
1723795200,0.8135
1723881600,0.8151
1723968000,0.8014
1724054400,0.8154
1724140800,0.8176
1724227200,0.8175
1724313600,0.8176
1724400000,0.8314
1724486400,0.8264
1724572800,0.5642
1724659200,0.5195
1724745600,0.6074
1724832000,0.6106
1724918400,0.5518
1725004800,0.5518
1725091200,0.5519
1725177600,0.5253
1725264000,0.5365
1725350400,0.5479
1725436800,0.5126
1725523200,0.5208
1725609600,0.5257
1725696000,0.5248
1725782400,0.5242
1725868800,0.5232
1725955200,0.5186
1726041600,0.5222
1726128000,0.5221
1726214400,0.4928
1726300800,0.4927
1726387200,0.4992
1726473600,0.4981
1726560000,0.4178
1726646400,0.4269
1726732800,0.4341
1726819200,0.4351
1726905600,0.4319
1726992000,0.4239
1727078400,0.4127
1727164800,0.3631
1727251200,0.3637
1727337600,0.3476
1727424000,0.3137
1727510400,0.3188
1727596800,0.3326
1727683200,0.306
1727769600,0.3483
1727856000,0.3425
1727942400,0.3432
1728028800,0.3145
1728115200,0.3148
1728201600,0.3124
1728288000,0.3265
1728374400,0.3052
1728460800,0.2995
1728547200,0.2813
1728633600,0.3201
1728720000,0.3199
1728806400,0.3382
1728892800,0.344
1728979200,0.3524
1729065600,0.3524
1729152000,0.3402
1729238400,0.3401
1729324800,0.3385
1729411200,0.3311
1729497600,0.3379
1729584000,0.2958
1729670400,0.2863
1729756800,0.2859
1729843200,0.2892
1729929600,0.2881
1730016000,0.2799
1730102400,0.2942
1730188800,0.2961
1730275200,0.2664
1730361600,0.3468
1730448000,0.3238
1730534400,0.3411
1730620800,0.325
1730707200,0.32
1730793600,0.4057
1730880000,0.4102
1730966400,0.4148
1731052800,0.415
1731139200,0.4262
1731225600,0.4354
1731312000,0.5488
1731398400,0.5587
1731484800,0.5671
1731571200,0.6037
1731657600,0.6059
1731744000,0.6105
1731830400,0.6102
1731916800,0.6041
1732003200,0.6037
1732089600,0.6155
1732176000,0.558
1732262400,0.5666
1732348800,0.5492
1732435200,0.553
1732521600,0.6102
1732608000,0.5739
1732694400,0.5738
1732780800,0.5733
1732867200,0.5723
1732953600,0.5695
1733040000,0.5658
1733126400,0.4256
1733212800,0.4149
1733299200,0.4484
1733385600,0.4592
1733472000,0.4376
1733558400,0.4354
1733644800,0.4343
1733731200,0.4501
1733817600,0.4478
1733904000,0.4312
1733990400,0.4197
1734076800,0.4238
1734163200,0.4236
1734249600,0.4406
1734336000,0.3889
1734422400,0.4093
1734508800,0.4236
1734595200,0.4595
1734681600,0.4601
1734768000,0.4774
1734854400,0.4781
1734940800,0.4807
1735027200,0.5095
1735113600,0.4457
1735200000,0.4259
1735286400,0.4215
1735372800,0.4247
1735459200,0.4289
1735545600,0.4195
1735632000,0.4216
