timestamp,rv
1609488000,
1609574400,
1609660800,
1609747200,
1609833600,
1609920000,
1610006400,
1610092800,
1610179200,
1610265600,
1610352000,
1610438400,
1610524800,
1610611200,
1610697600,
1610784000,
1610870400,
1610956800,
1611043200,
1611129600,
1611216000,
1611302400,1.5066
1611388800,1.3752
1611475200,1.3462
1611561600,1.3524
1611648000,1.2453
1611734400,1.2153
1611820800,1.2007
1611907200,1.2226
1611993600,1.2079
1612080000,0.954
1612166400,0.92
1612252800,0.9395
1612339200,0.8775
1612425600,0.8772
1612512000,0.8683
1612598400,0.837
1612684800,0.8247
1612771200,1.1366
1612857600,1.121
1612944000,1.13
1613030400,0.9898
1613116800,0.9726
1613203200,0.971
1613289600,0.9943
1613376000,0.9491
1613462400,0.9494
1613548800,0.9329
1613635200,0.9398
1613721600,0.9505
1613808000,0.9389
1613894400,0.9389
1613980800,1.1365
1614067200,1.1216
1614153600,1.1161
1614240000,1.2366
1614326400,1.2388
1614412800,1.2693
1614499200,1.2779
1614585600,1.0074
1614672000,1.0095
1614758400,0.9905
1614844800,0.9856
1614931200,0.9932
1615017600,0.987
1615104000,0.9769
1615190400,1.0105
1615276800,0.9986
1615363200,0.9985
1615449600,1.0045
1615536000,0.9671
1615622400,0.9894
1615708800,1.0099
1615795200,0.8636
1615881600,0.8638
1615968000,0.8791
1616054400,0.7059
1616140800,0.6881
1616227200,0.6366
1616313600,0.6231
1616400000,0.6737
1616486400,0.671
1616572800,0.7244
1616659200,0.6945
1616745600,0.6916
1616832000,0.6902
1616918400,0.6899
1617004800,0.6411
1617091200,0.6404
1617177600,0.6398
1617264000,0.6293
1617350400,0.6282
1617436800,0.5977
1617523200,0.568
1617609600,0.5384
1617696000,0.5409
1617782400,0.5111
1617868800,0.5159
1617955200,0.5444
1618041600,0.5383
1618128000,0.5416
1618214400,0.4625
1618300800,0.4956
1618387200,0.4229
1618473600,0.4364
1618560000,0.4292
1618646400,0.6097
1618732800,0.6144
1618819200,0.6297
1618905600,0.6348
1618992000,0.6358
1619078400,0.8153
1619164800,0.8471
1619251200,0.8425
1619337600,0.8911
1619424000,0.8959
